id,abbrev,state,capital,latitude,longitude,population,state bird
1,AL,Alabama,Montgomery,32.38012,-86.300629,205764,Northern flicker Yellowhammer
2,AK,Alaska,Juneau,58.29974,-134.406794,31275,Wild turkey
3,AZ,Arizona,Phoenix,33.44826,-112.075774,1445632,Willow ptarmigan
4,AR,Arkansas,Little Rock,34.748655,-92.274494,193524,Cactus wren
5,CA,California,Sacramento,38.579065,-121.491014,466488,Northern mockingbird
6,CO,Colorado,Denver,39.74001,-104.992259,600158,California quail
7,CT,Connecticut,Hartford,41.763325,-72.674069,124775,Lark bunting
8,DE,Delaware,Dover,39.158035,-75.524734,36047,American robin
9,FL,Florida,Tallahassee,30.439775,-84.280649,181376,Delaware Blue Hen
10,GA,Georgia,Atlanta,33.748315,-84.391109,420003,Northern mockingbird
11,HI,Hawaii,Honolulu,21.30477,-157.857614,337256,Bobwhite quail
12,ID,Idaho,Boise,43.60698,-116.193409,205671,Brown thrasher
13,IL,Illinois,Springfield,39.801055,-89.643604,116250,Nēnē Hawaiian goose
14,IN,Indiana,Indianapolis,39.76691,-86.149964,820445,Mountain bluebird
15,IA,Iowa,Des Moines,41.58979,-93.615659,203433,Northern cardinal
16,KS,Kansas,Topeka,39.049285,-95.671184,127473,Northern cardinal
17,KY,Kentucky,Frankfort,38.19507,-84.878694,25527,Eastern goldfinch
18,LA,Louisiana,Baton Rouge,30.443345,-91.186994,229493,Western meadowlark
19,ME,Maine,Augusta,44.318036,-69.776218,19136,Northern cardinal
20,MD,Maryland,Annapolis,38.9767,-76.489934,38394,Brown pelican
21,MA,Massachusetts,Boston,42.358635,-71.056699,617594,Black-capped chickadee
22,MI,Michigan,Lansing,42.73194,-84.552249,114297,Baltimore oriole
23,MN,Minnesota,Saint Paul,44.943829,-93.093326,285068,Black-capped chickadee
24,MS,Mississippi,Jackson,32.29869,-90.180489,173514,Wild turkey
25,MO,Missouri,Jefferson City,38.577515,-92.177839,43079,American robin
26,MT,Montana,Helana,46.58976,-112.021202,28190,Common loon
27,NE,Nebraska,Lincoln,40.81362,-96.707739,258379,Northern mockingbird
28,NV,Nevada,Carson City,39.164885,-119.766999,55274,Wood duck
29,NH,New Hampshire,Concord,43.20725,-71.536604,42695,Bobwhite quail
30,NJ,New Jersey,Trenton,40.217875,-74.759404,84913,Eastern bluebird
31,NM,New Mexico,Santa Fe,35.691543,-105.937406,67947,Western meadowlark
32,NY,New York,Albany,42.651445,-73.755254,97856,Western meadowlark
33,NC,North Carolina,Raleigh,35.78551,-78.642669,403892,Mountain bluebird
34,ND,North Dakota,Bismarck,46.805372,-100.779334,61272,Purple finch
35,OH,Ohio,Columbus,39.96196,-83.002984,787033,Eastern goldfinch
36,OK,Oklahoma,Oklahoma City,35.472015,-97.520354,579999,Roadrunner
37,OR,Oregon,Salem,44.93326,-123.043814,154637,Eastern bluebird
38,PA,Pennsylvania,Harrisburg,40.259865,-76.88223,49528,Northern cardinal
39,RI,Rhode Island,Providence,41.823875,-71.411994,178042,Western meadowlark
40,SC,South Carolina,Columbia,33.99855,-81.045249,129272,Northern cardinal
41,SD,South Dakota,Pierre,44.368924,-100.350158,13646,Scissor-tailed flycatcher
42,TN,Tennessee,Nashville,36.167783,-86.778365,601222,Wild turkey
43,TX,Texas,Austin,30.267605,-97.742984,790390,Western meadowlark
44,UT,Utah,Salt Lake City,40.759505,-111.888229,186440,Ruffed grouse
45,VT,Vermont,Montpelier,44.260299,-72.576264,7855,Rhode Island Red
46,VA,Virginia,Richmond,37.5407,-77.433654,204214,Carolina wren
47,WA,Washington,Olympia,47.039231,-122.891366,46478,Northern mockingbird
48,WV,West Virginia,Charleston,38.350195,-81.638989,51400,Wild turkey
49,WI,Wisconsin,Madison,43.07295,-89.386694,233209,Ring-necked pheasant
50,WY,Wyoming,Cheyenne,41.134815,-104.821544,59466,Bobwhite quail
